Q,A,label,,,,
독서를 좋아하는데 들을만한 교양 있어?,독서지도의 이해(교류) 이 과목을 추천할게 충남 이러닝으로 온라인 수업이야 독서를 좋아하는 너에게 딱 좋은 교양이야,0,,,,
충남 이러닝에서 수업 추천해줘.,독서 관련 교양을 찾는다면 ‘독서지도의 이해(교류)’가 좋아. 책 읽기와 의사소통 중심 수업이라 편하게 들을 수 있어.,0,,,,
책 좋아하는 사람한테 좋은 과목 뭐야?,독서지도의 이해(교류) 수업을 들어봐. 텍스트와 독자의 상호작용을 배우는 흥미로운 교양이야.,0,,,,
독서지도의 이해 독서만 하는거야??,온라인 수업이며 독서를 하고 같이 토론하고 독후감 쓸거같아,0,,,,
독서랑 관련된 과목 알려줘.,독서지도의 이해(교류)는 독서·소통 중심 교양이라 책 좋아하는 학생에게 딱이야. 온라인 과정이라 부담도 적어.,0,,,,
독서지도의 이해 사람들이 많이 들어?,백석대학교 학생들을 보면 독서를 좋아하는 사람이 꽤 있다고 생각해!!  모집 인원이 20명인데 21명이 수강중이야.,0,,,,
나는 글 읽는 게 좋던데 뭘 들으면 좋을까?,독서지도의 이해(교류)를 추천할게. 읽기 경험을 바탕으로 서로 대화하는 방식의 수업이야.,0,,,,
독서 교양 과목 뭐 들어야 할지 모르겠어.,책 좋아한다면 독서지도의 이해(교류)가 괜찮아. 온라인으로 부담 없이 들을 수 있어.,0,,,,
독서지도의 이해 재밌을까?,독서지도의 이해(교류)는 독서 내용을 같이 생각하고 이야기하는 방식이라 지루하지 않아. 책 좋아하면 더 흥미롭게 들을 수 있어.,0,,,,
책 읽기 좋아하는데 배울 게 있을까?,독서지도의 이해(교류) 수업에서 독서 방법과 대화 중심 독서 지도를 배울 수 있어. 추천해!,0,,,,
충남 이러닝으로 들을만한 교양 없어?,독서지도의 이해(교류)’가 있어. 독서 기반이라 흥미롭게 들을 수 있을 거야.,0,,,,
책 읽는 거 좋아하는데 수업도 그런 거 없나?,독서지도의 이해(교류)가 딱 그런 수업이야. 읽기·대화 중심이라 독서 좋아하는 학생에게 잘 맞아.,0,,,,
독서지도의 이해 온라인 수업이야?,"응, 충남 이러닝으로 진행되는 완전 온라인 수업이야. 시간 맞춰 접속해서 들으면 되고 접근성도 좋아.",0,,,,
독서와 관련된 교양 있어?,독서지도의 이해(교류)’가 있어. 독서의 의미 구성과 대화를 배우는 수업이야.,0,,,,
충남 이러닝으로 뭐 들어야 할까?,책에 관심 있다면 독서지도의 이해(교류)를 추천해. 내용도 부드럽고 접근하기 쉬워.,0,,,,
읽기 관련 과목 있어?,독서지도의 이해(교류)’가 읽기·소통 기반 수업이라 너에게 잘 맞을 거야.,0,,,,
독서지도의 이해 시험 있어?,큰 시험보다는 온라인 퀴즈나 독서 기반 과제가 나오는 형태야. 난이도는 어렵지 않은 편이라 부담 없이 들을 수 있어.,0,,,,
독서지도의 이해 교수님 어때?,교수님 설명이 차분하고 이해하기 쉬운 편이야. 전체적으로 과제 부담도 크지 않아서 수업 분위기가 편안해.,0,,,,
독서지도의 이해 과제 많아?,과제 부담은 큰 편이 아니야. 읽고 느낀 점을 정리하거나 간단한 활동 정도라서 어렵지 않게 할 수 있어.,0,,,,
독서지도의 이해 재밌어?,독서지도의 이해(교류)는 책 내용을 함께 생각하고 이야기하는 방식이라 지루하지 않아. 독서를 좋아한다면 더 재미있게 들을 수 있을 거야.,0,,,,
문화카페기행 어떤 과목이야?,문화카페기행은 다양한 지역의 카페 문화를 탐방하고 그 안에 담긴 문화적 의미를 배우는 교양 수업이야. 가볍고 흥미롭게 들을 수 있어.,1,,,,
문화카페기행에서 실제로 카페를 방문해야 돼?,꼭 방문해야 하는 건 아니야. 온라인으로 카페 관련 문화·역사·트렌드를 배우는 수업이야.,1,,,,
문화카페기행 수업은 어떤 방식으로 진행돼?,"OCU 온라인 강의로 진행되고, 영상 시청 후 퀴즈나 간단한 과제가 있어.",1,,,,
문화카페기행은 누가 들으면 좋아?,"카페, 여행, 도시문화, 공간 디자인 이런 걸 좋아하는 사람에게 잘 맞아.",1,,,,
문화카페기행 수업은 출석 어떻게 해?,정해진 주차별로 OCU 플랫폼에서 강의를 시청하면 자동으로 출석 처리돼.,1,,,,
문화카페기행 수업 과제 많아?,보통 간단한 활동이나 소감 작성 정도라 크게 부담되지 않아.,1,,,,
문화카페기행 수업 시험 있어?,온라인 중간·기말시험이 있어. 난이도는 어렵지 않은 편이라 강의만 보면 충분히 해결 가능해.,1,,,,
문화카페기행 수업이 OCU 수업이면 시간 자유롭게 들을 수 있어?,응! 정해진 기간 안에서는 언제든지 자유롭게 들을 수 있어.,1,,,,
여행 좋아하는데 들을 만한 교양 있어?,그럼 문화카페기행 추천할게! 지역별 카페 문화와 공간 이야기를 배워서 여행 감성이랑 잘 맞아.,1,,,,
나는 카페 분위기 좋아하는데 관련 교양 있어?,"문화카페기행 들어봐. 카페의 역사, 공간 디자인, 지역별 카페 특징 같은 재미있는 내용을 다뤄.",1,,,,
카페 자주 가는데 그런 감성 수업 있어?,문화카페기행 추천! 카페 문화를 다양한 시각에서 배우는 수업이라 카페 좋아하면 정말 잘 맞아.,1,,,,
