리뷰내용,평점,학기,전공트랙,과목코드,과목명,교수명,강의ID
"수기로 이산수학 교과서를 만드는 수업입니다.
테블릿이 사용 불가능하거나 분량이 정해져있거나 수기임에도 글자 포인트가 정해져있는 등등등의 제약이 많습니다.

내용 자체는 뭐 초중딩도 할만한 내용입니다.",,,알수없음,0154702,이산수학,최미영,1888220
"과제가 쉽지만 상당히 많습니다
하지만 교수님도 착해서 좋습니다
시험 난이도가 꽤 있는데 공부하면 커버할만하고
사강이라 그런지 시험에서 ai쓴 애들한테 밀려요",,,알수없음,0154702,이산수학,최미영,1888220
과제는 쉬운 편임. 하지만 원하시는 분량이 많아 가끔씩이 분량을 맞추기 힘들었음. 강의 내용은 쉬운 편임. 교수님께서 이해하기 쉽게 설명해 주셔서 좋았음. 만나서 강의하지 않는 올 사강인데도 불구하고 문의를 드리면 다른 교수님들과는 다르게 너무나 친근하게 대해 주심. 아직 학교 와서 강의는 많이 못 들어봤지만 가장 재미있었던 강의였음.,,,알수없음,0154702,이산수학,최미영,1888220
교수님께서 정말 열심히 가르쳐주시지만 보이는 모든것을 필기해서 내는 것이 제출이기때문에 손이 너무 아픔. 그래도 교수님께서 정말 열심히 가르쳐주심,,,알수없음,0154702,이산수학,최미영,1888220
"친절하게 알려주시고 되게 열정적이심.
덕분에 수포자인데 열심히 공부하게 되고 좋은 성적 받았음.
 끝나고도 많은걸 얻어 갈수 있었던 강의였던거 같음",,,알수없음,0154702,이산수학,최미영,1888220
"과제의 난이도 자체가 높다기보다는, 분량이 많아서 부담이 컸습니다. 매주 수업 내용을 정리해서 제출해야 했고, 단순 요약뿐 아니라 문제 풀이까지 포함되어 있어서 시간이 많이 걸렸습니다. 문제들이 어렵다기보다는, 풀이에 시간이 많이 소요되는 유형이 가끔 있었는데 이 점이 힘들었습니다. 개인차는 있겠지만, 저는 매주 과제를 최소 10페이지 이상 정리해서 제출했습니다.
반면 수업은 괜찮았어요. 재미있었고 난이도도 쉬운편 이라고 느꼈습니다.",,,알수없음,0154702,이산수학,최미영,1888220
진짜 모르는 부분 하나하나 다 설명해주시고 진도도 천천히 나가셔서 A+ 받기 진짜 쉬운 강의입니다 꼭 들으세요!!,,,알수없음,0154702,이산수학,최미영,1888220
교수님 엄청 친절해요. 배우는 것도 쉽고 따라가기만 하면 걍 A 받아요,,,알수없음,0154702,이산수학,최미영,1888220
"최미영 교수님 수업 두 번째 듣는데 항상 열정 넘치세요.
질문하면 친절하게 알려주시고, 과제도 매주 따라오기만 한다면 자동으로 공부도 돼서 따로 많이 할 필요는 없다고 생각해요.
과정 하나하나 쓰는 게 귀찮을지라도 수학을 풀 때 풀이 과정이 많이 중요하다는걸 알아서 그냥 열심히 쓰고 공부했어요.
사이버 원하는 학생들은 사이버로 수강 가능했고, 대면 학생들도 복습 차원으로 사이버 강의 볼 수 있어서 너무 좋았어요.
다음 번에도 최미영 교수님 강의 들으려고요.
수업 시작할 때 전자출결 하고 중간에 호명도 합니당",,,알수없음,0154702,이산수학,최미영,1888220
교수님 너무 좋으시고 친절하시고 수학 못해도 다 할 수 있어요 강의만 열심히 들어도..시험도 쉽습니다 개추천,,,알수없음,0154702,이산수학,최미영,1888220
