No,구분,학부,전공(학과),교과목코드,분반,교과목명,학점,시수,교수명,시간표,"강의평가
결과조회",수업계획서출력
1,탐색트랙,컴퓨터공학부,멀티미디어학전공,1547,1,이산수학,3,3,최미영,"본부516 : 목2,3/ 사",조회,수업계획서
2,탐색트랙,컴퓨터공학부,멀티미디어학전공,1547,2,이산수학,3,3,최미영,사,조회,수업계획서
3,탐색트랙,첨단IT학부,IoT전공,3670,1,C언어프로그래밍,3,4,정원석,"본부204 : 월1,2,3/ 사",조회,수업계획서
4,탐색트랙,컴퓨터공학부,소프트웨어학전공,3670,2,C언어프로그래밍,3,4,구미순,"본부204 : 수6,7,8/ 사",조회,수업계획서
5,탐색트랙,컴퓨터공학부,소프트웨어학전공,3670,3,C언어프로그래밍,3,4,구미순,"본부518 : 화6,7,8/ 사",조회,수업계획서
6,탐색트랙,컴퓨터공학부,소프트웨어학전공,3670,4,C언어프로그래밍,3,4,이승화,"본부519 : 수1,2,3/ 사",조회,수업계획서
7,탐색트랙,컴퓨터공학부,소프트웨어학전공,3670,5,C언어프로그래밍,3,4,이성진,"본부519 : 월6,7,8/ 사",조회,수업계획서
8,탐색트랙,컴퓨터공학부,정보보호학전공,3670,7,C언어프로그래밍,3,4,김귀정,"본부510 : 월4,5,6/ 사",조회,수업계획서
9,탐색트랙,첨단IT학부,핀테크전공,9481,1,파이썬 프로그래밍,3,4,김동우,"본부514 : 목1,2,3/ 사",조회,수업계획서
10,탐색트랙,첨단IT학부,IoT전공,9481,2,파이썬 프로그래밍,3,4,양우석,"본부819 : 수4,5,6/ 사",조회,수업계획서
11,탐색트랙,컴퓨터공학부,소프트웨어학전공,9481,3,파이썬 프로그래밍,3,4,성정숙,"본부515 : 목7,8,9/ 사",조회,수업계획서
12,탐색트랙,컴퓨터공학부,인공지능학전공,9481,4,파이썬 프로그래밍,3,4,홍경호,"본부520 : 수1,2,3/ 사",조회,수업계획서
13,탐색트랙,첨단IT학부,빅데이터전공,9481,5,파이썬 프로그래밍,3,4,김동한,"본부205 : 목4,5,6/ 사",조회,수업계획서
14,코어트랙,컴퓨터공학부,인공지능학전공,2186,5,자료구조론,3,3,이현섭,"본부206 : 수5,6/ 사",조회,수업계획서
15,코어트랙,컴퓨터공학부,소프트웨어학전공,2194,1,유닉스시스템,3,4,이승화,"본부504 : 월7,8,9/ 사",조회,수업계획서
16,코어트랙,컴퓨터공학부,인공지능학전공,3200,1,인공지능,3,3,이현섭,"본부511 : 화2,3/ 사",조회,수업계획서
17,코어트랙,첨단IT학부,빅데이터전공,3671,1,JAVA프로그래밍,3,4,유진호,"본부514 : 월7,8,9/ 사",조회,수업계획서
18,코어트랙,컴퓨터공학부,멀티미디어학전공,3671,2,JAVA프로그래밍,3,4,강윤희,"본부520 : 화5,6,7/ 사",조회,수업계획서
19,코어트랙,컴퓨터공학부,멀티미디어학전공,3671,3,JAVA프로그래밍,3,4,강윤희,"본부518 : 월5,6,7/ 사",조회,수업계획서
20,코어트랙,컴퓨터공학부,정보보호학전공,3671,4,JAVA프로그래밍,3,4,이수연,"본부210 : 목1,2,3/ 사",조회,수업계획서
21,코어트랙,컴퓨터공학부,멀티미디어학전공,3672,1,C++프로그래밍,3,4,곽노윤,"본부505 : 월7,8,9/ 사",조회,수업계획서
22,코어트랙,컴퓨터공학부,멀티미디어학전공,3672,2,C++프로그래밍,3,4,최미영,"본부518 : 수1,2,3/ 사",조회,수업계획서
23,코어트랙,컴퓨터공학부,멀티미디어학전공,3672,3,C++프로그래밍,3,4,최미영,"본부518 : 수4,5,6/ 사",조회,수업계획서
24,코어트랙,컴퓨터공학부,인공지능학전공,3672,4,C++프로그래밍,3,4,이현섭,"본부510 : 수1,2,3/ 사",조회,수업계획서
25,코어트랙,컴퓨터공학부,소프트웨어학전공,3674,2,데이터베이스이론 및 실습,3,4,이시은,"본부210 : 수5,6,7/ 사",조회,수업계획서
26,코어트랙,컴퓨터공학부,소프트웨어학전공,3674,3,데이터베이스이론 및 실습,3,4,이시은,"본부519 : 화2,3,4/ 사",조회,수업계획서
27,코어트랙,컴퓨터공학부,정보보호학전공,3674,4,데이터베이스이론 및 실습,3,4,한군희,"본부518 : 화2,3,4/ 사",조회,수업계획서
28,코어트랙,첨단IT학부,AR·VR전공,6850,1,UI/UX디자인,3,4,백순화,"본부509 : 수2,3,4/ 사",조회,수업계획서
29,코어트랙,컴퓨터공학부,소프트웨어학전공,6850,2,UI/UX디자인,3,4,백순화,"본부509 : 화5,6,7/ 사",조회,수업계획서
30,코어트랙,컴퓨터공학부,멀티미디어학전공,8842,1,디지털영상처리,3,4,정은화,"본부210 : 수1,2,3/ 사",조회,수업계획서
31,코어트랙,컴퓨터공학부,멀티미디어학전공,9662,2,파이썬응용,3,4,정은화,"본부515 : 화2,3,4/ 사",조회,수업계획서
32,코어트랙,컴퓨터공학부,인공지능학전공,9942,2,알고리즘 및 실습,3,4,이현섭,"본부204 : 월5,6,7/ 사",조회,수업계획서
33,코어트랙,컴퓨터공학부,멀티미디어학전공,9942,3,알고리즘 및 실습,3,4,강윤희,"본부505 : 수1,2,3/ 사",조회,수업계획서
34,코어트랙,컴퓨터공학부,소프트웨어학전공,9943,1,웹응용프로그래밍,3,4,김종만,"본부519 : 화7,8,9/ 사",조회,수업계획서
